Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,5521.35
8.5,11978
9,15832.2
9.5,17856.6
10,18658.7
10.5,18695.1
11,18020.6
11.5,17481.1
12,16966
12.5,16730.1
13,16800
13.5,17194.2
14,17732.3
14.5,18287.3
15,18723.4
15.5,18490.3
16,17411.6
16.5,15305.2
17,12007.1
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,1458.29
32.5,4488.06
33,12956.9
33.5,12753.8
34,15667.7
34.5,16156.6
35,16268.3
35.5,17761.2
36,14001.1
36.5,13367.3
37,15456.8
37.5,17237.8
38,14748.7
38.5,15329.3
39,15954.9
39.5,12616.4
40,12567.4
40.5,10224.2
41,7600.26
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,4776.37
56.5,1082.29
57,2014.41
57.5,2887.73
58,3647.58
58.5,2787.12
59,3269.37
59.5,3721.65
60,5117.58
60.5,3441.23
61,3843.95
61.5,6075.98
62,5545.77
62.5,7243.15
63,8307.61
63.5,17711.5
64,16536.5
64.5,14311.6
65,10901.3
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,0
80,4885.97
80.5,11363
81,1780.26
81.5,2521.35
82,3172.26
82.5,6240.2
83,10451.3
83.5,17970.1
84,17430.2
84.5,17030.2
85,16976.5
85.5,17248.5
86,17648.1
86.5,18159.1
87,18431.4
87.5,18123.8
88,16967.2
88.5,14832.4
89,11432.8
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,4380.66
104.5,11292.9
105,10349.7
105.5,11416.6
106,13571.7
106.5,13725
107,14979
107.5,17958.4
108,17462
108.5,17103.1
109,17087.8
109.5,17418.8
110,17883.2
110.5,18437
111,18747.1
111.5,18437.4
112,17209.8
112.5,14973.8
113,11430.4
113.5,3005.5
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,4524.87
128.5,10899.6
129,680.419
129.5,698.831
130,1102.9
130.5,793.568
131,1145.29
131.5,1513.33
132,1844.63
132.5,3559.27
133,4148.59
133.5,2134.6
134,2634.67
134.5,3295.24
135,7015.69
135.5,1168.14
136,704.183
136.5,962.705
137,11014.9
137.5,4825.93
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,156.821
152.5,667.264
153,1216.89
153.5,1771.27
154,4318.7
154.5,4347.84
