Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,654.148
8,8872.26
8.5,14433.9
9,17613
9.5,19235.5
10,19723.6
10.5,19465.7
11,18845
11.5,18204.5
12,17654.2
12.5,17376.4
13,17571.5
13.5,17986.1
14,18492.9
14.5,19008.5
15,19059.2
15.5,18504.5
16,16906.4
16.5,14186.4
17,8831.12
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,70.0393
32,2523.68
32.5,8468.05
33,9962.88
33.5,12810.4
34,16680.6
34.5,16126.7
35,18568.3
35.5,17923.6
36,14998.7
36.5,14310.6
37,15028.8
37.5,17807.4
38,13386.8
38.5,18899.1
39,11105.2
39.5,18417.5
40,17081.9
40.5,8930.03
41,4783.19
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,109.801
56.5,257.759
57,428.112
57.5,791.713
58,741.873
58.5,926.097
59,1094.65
59.5,1983.3
60,1739.87
60.5,2023.7
61,1860
61.5,2241.74
62,2261.09
62.5,2872.3
63,3757.98
63.5,2054.35
64,674.073
64.5,799.933
65,8837.39
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,600.328
80,8990.89
80.5,14642
81,3725.08
81.5,4736.64
82,5513.86
82.5,10407
83,19241.7
83.5,18614.5
84,18107.2
84.5,17846.7
85,18080.3
85.5,18565.3
86,19165.8
86.5,19754.8
87,19888
87.5,19277.7
88,17859.2
88.5,15208
89,9798.72
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,9032.08
104.5,14591.2
105,17603.2
105.5,19025.1
106,19580.5
106.5,19342.7
107,18668.8
107.5,18010.1
108,14143.6
108.5,14234.3
109,15044.9
109.5,15317.6
110,18326.3
110.5,18852.9
111,19011.8
111.5,18446.8
112,17147
112.5,14722.7
113,9650.3
113.5,0
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,8535.17
128.5,401.48
129,658.49
129.5,1085.82
130,1620.02
130.5,2185.86
131,1466.79
131.5,1875.08
132,3126.65
132.5,2605.65
133,3508.11
133.5,3562.04
134,1023.62
134.5,987.858
135,511.088
135.5,472.773
136,249.206
136.5,618.735
137,9221.04
137.5,0
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,110.594
152.5,303.887
153,480.738
153.5,655.536
154,1369.48
154.5,1638.02
155,1927.17
