Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,3862
9,15427.1
9.5,18225.4
10,19507.5
10.5,19663
11,19185.9
11.5,18379.4
12,17612.5
12.5,17045.8
13,16798.9
13.5,17037.4
14,17505.5
14.5,18203.2
15,18899.6
15.5,19226
16,18932
16.5,17899.4
17,16091.3
17.5,12334.4
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,0
32.5,9962.74
33,15133.2
33.5,17920.8
34,19270.7
34.5,19519.9
35,19154.7
35.5,18405.4
36,17701.8
36.5,17192.1
37,16952.8
37.5,17205.4
38,17694.5
38.5,18398.3
39,19082.8
39.5,19448.8
40,19104.4
40.5,18120
41,16298.1
41.5,12521.9
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,0
56.5,3910.81
57,15440.6
57.5,18161
58,19343.4
58.5,19460.6
59,18949.8
59.5,18167.2
60,17419.2
60.5,16860
61,16590.6
61.5,16839.4
62,17296.4
62.5,17954.8
63,18666.6
63.5,18945.4
64,18585.4
64.5,17668.1
65,15593.3
65.5,11759.8
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,0
80,0
80.5,9878.87
81,15235.4
81.5,18027
82,19298.8
82.5,19500.4
83,19087.2
83.5,18343.7
84,17628.4
84.5,17118.3
85,16868
85.5,17125.9
86,17637.1
86.5,18361.6
87,19071.5
87.5,19421.5
88,19051.8
88.5,18136.1
89,15977.5
89.5,11986.5
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,0
104.5,3447.41
105,15041.2
105.5,17727.7
106,18961.5
106.5,19049.2
107,18609.8
107.5,17892.3
108,17193.7
108.5,16708.6
109,16502.8
109.5,16745.1
110,17228.5
110.5,17958.8
111,18685.7
111.5,19062.6
112,18822.7
112.5,17845.3
113,16079.7
113.5,12345.9
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,0
128.5,3376.86
129,15690.3
129.5,18544.6
130,19794.4
130.5,19944.6
131,19472.6
131.5,18708.7
132,17972.8
132.5,17451.4
133,17187.9
133.5,17434.9
134,17941.6
134.5,18683.7
135,19455.7
135.5,19880.1
136,19575.9
136.5,18551.5
137,16710.1
137.5,12798.6
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,0
152.5,2231.13
153,15059.7
153.5,17830.4
154,12264.9
154.5,19284.6
155,18892.5
