Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,7416.63
8.5,13754.7
9,17103.4
9.5,18767
10,19496.8
10.5,19400
11,18749
11.5,18007.4
12,17504.4
12.5,17215.1
13,17388.1
13.5,17831.6
14,18542.4
14.5,19224
15,19576
15.5,19183.5
16,17925.1
16.5,15665.2
17,11111.6
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,7511.19
32.5,13939
33,17211.3
33.5,18830.1
34,19477.7
34.5,19330.9
35,18650.2
35.5,17869.7
36,17341.3
36.5,17032.6
37,17187.1
37.5,17598.7
38,18286.1
38.5,18941.4
39,19264.7
39.5,18911.5
40,17671.3
40.5,15469.6
41,11038.9
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,7387.19
56.5,13721.3
57,16888.7
57.5,18429.7
58,19060.3
58.5,18996.7
59,18388.6
59.5,17692.8
60,17232
60.5,16970.4
61,17143
61.5,17604.8
62,18275.1
62.5,18934.5
63,19289.9
63.5,18946.6
64,17718.5
64.5,15463.9
65,11061.1
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,0
80,6905.25
80.5,12971.1
81,16117.4
81.5,17577.2
82,18182.7
82.5,14415.3
83,14033.5
83.5,14018.5
84,16253.7
84.5,15951.2
85,16019.4
85.5,16421.7
86,16920.1
86.5,17408.4
87,12712.3
87.5,10175.2
88,8983.65
88.5,14125
89,9977.59
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,6691.35
104.5,12599.8
105,15594.4
105.5,17059.2
106,17707.5
106.5,17677.9
107,13920.4
107.5,16579.3
108,16089.7
108.5,15849.1
109,15953.7
109.5,16373.7
110,16895.1
110.5,11920.5
111,11655.5
111.5,13777.5
112,8217.59
112.5,9638.86
113,6467.64
113.5,0
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,6561.21
128.5,12599.7
129,15853.6
129.5,17491
130,18207.4
130.5,18184.9
131,17621.9
131.5,17023.3
132,16457.3
132.5,16192.7
133,16299.3
133.5,16696.5
134,17313.8
134.5,17884.7
135,9337.06
135.5,17777.5
136,16543.2
136.5,14549.1
137,10252.3
137.5,0
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,6700.18
152.5,12839.7
153,16068.8
153.5,17665.9
154,18374
154.5,18292.3
155,17699.4
