Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,45.5385
8,599.133
8.5,110.365
9,92.0511
9.5,1185.13
10,2334.7
10.5,1298.72
11,3381.12
11.5,5234.12
12,1535.16
12.5,3213.68
13,5671.09
13.5,4210.19
14,6078.73
14.5,4489.69
15,3959.54
15.5,2384.19
16,4279.31
16.5,2805.37
17,976.445
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,188.504
32.5,5228.38
33,772.62
33.5,1099.15
34,830.765
34.5,1005.19
35,2042.99
35.5,2287.28
36,3008.6
36.5,5199.44
37,2465.09
37.5,2913.69
38,3294.69
38.5,2229.42
39,2403.25
39.5,1205.03
40,811.904
40.5,568.811
41,236.898
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,1191.47
56,9543.93
56.5,14670.2
57,17538.6
57.5,18883
58,2612.29
58.5,7320.05
59,7832.64
59.5,10802.1
60,17221
60.5,16972.3
61,11772.1
61.5,10857.6
62,8964.97
62.5,2339.27
63,5402.22
63.5,2513.23
64,1335.88
64.5,91.4084
65,32.3625
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,0
80,187.02
80.5,421.072
81,296.754
81.5,399.503
82,1145.11
82.5,2124.65
83,2284.81
83.5,3453.74
84,2845.33
84.5,2488.49
85,4532.83
85.5,2288.29
86,2063.96
86.5,2214.11
87,4012.4
87.5,1258.18
88,2202.24
88.5,1455.75
89,618.179
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,60.3812
104,894.545
104.5,4621.72
105,296.08
105.5,152.082
106,3995.94
106.5,2469.49
107,1815.99
107.5,2196.94
108,1303.53
108.5,2399.39
109,3562.08
109.5,5221.5
110,2299.13
110.5,3010.12
111,8722.5
111.5,649.872
112,152.014
112.5,4110.73
113,1306.38
113.5,0
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,1129.82
128,9497.08
128.5,14738
129,17742.5
129.5,19116.2
130,19699
130.5,19466.2
131,18872.3
131.5,18280.9
132,17795.6
132.5,17576.6
133,17808.8
133.5,18247.6
134,18842.5
134.5,19409.7
135,19512
135.5,18926.6
136,17562.7
136.5,15031.9
137,9630.46
137.5,0
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,137.993
152,2635.35
152.5,14618.6
153,9156.54
153.5,9918.98
154,15413.1
154.5,16225.7
