Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSDBR,690190,-,TX,-,30.238611,-97.50827,-6,155,-6,unknown
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
2013.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8177917003631587,11.8629089355469,169.56444763164131
2013.0,1.0,1.0,0.0,30.0,0.0,0.0,0.0,2.9198713302612305,11.6706481933594,172.68827032575336
2013.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0219507217407227,11.478356933593775,170.63817430843443
2013.0,1.0,1.0,1.0,30.0,0.0,0.0,0.0,3.1050047874450684,11.27593383789065,165.46269917089938
2013.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.1880590915679932,11.0734802246094,159.40634908689609
2013.0,1.0,1.0,2.0,30.0,0.0,0.0,0.0,3.2805781364440918,10.879968261718775,153.0709037364756
2013.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,3.3730969429016118,10.68645629882815,146.63174347544839
2013.0,1.0,1.0,3.0,30.0,0.0,0.0,0.0,3.4656877517700195,10.475671386718775,140.1583313770459
2013.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,3.5582785606384282,10.2648864746094,133.68663464282636
2013.0,1.0,1.0,4.0,30.0,0.0,0.0,0.0,3.6764693260192871,10.03606567382815,127.24024715840169
2013.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,3.7946598529815678,9.8072143554687745,120.83813633983117
2013.0,1.0,1.0,5.0,30.0,0.0,0.0,0.0,3.9556422233581534,9.5502868652343995,114.49814222261938
2013.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,4.1166243553161621,9.2933593750000245,108.23895708168152
2013.0,1.0,1.0,6.0,30.0,0.0,0.0,0.0,4.2488298416137695,9.0096069335937745,102.08156273735048
2013.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,4.381035327911377,8.7258544921875227,96.050540666310994
2013.0,1.0,1.0,7.0,30.0,0.0,0.0,0.0,4.4106922149658203,8.5362487792968977,90.170560565260786
2013.0,1.0,1.0,8.0,0.0,4.0,4.0,0.0,4.4403495788574219,8.3466430664062727,84.491065847728407
2013.0,1.0,1.0,8.0,30.0,18.0,18.0,0.0,4.3616847991943368,8.2824035644531477,79.04547587932899
2013.0,1.0,1.0,9.0,0.0,22.0,22.0,0.0,4.2830204963684082,8.2181945800781477,73.891346437799953
2013.0,1.0,1.0,9.0,30.0,120.0,120.0,1.0,4.2258739471435556,8.2873779296875227,69.096760012539107
2013.0,1.0,1.0,10.0,0.0,130.0,130.0,0.0,4.1687273979187012,8.3565307617187727,64.743884157457984
2013.0,1.0,1.0,10.0,30.0,204.0,190.0,27.0,4.1177020072937012,8.5438476562500227,60.929340938114827
2013.0,1.0,1.0,11.0,0.0,264.0,232.0,60.0,4.0666766166687012,8.7311950683593977,57.761438316940591
2013.0,1.0,1.0,11.0,30.0,233.0,220.0,23.0,4.0060043334960938,9.3515258789062745,55.352543783992999
2013.0,1.0,1.0,12.0,0.0,285.0,255.0,50.0,3.945332527160645,9.9718261718750245,53.805595140128098
2013.0,1.0,1.0,12.0,30.0,352.0,282.0,117.0,3.8340494632720952,10.2951599121094,53.196398403486
2013.0,1.0,1.0,13.0,0.0,252.0,236.0,27.0,3.7227663993835449,10.618493652343775,53.557179763169053
2013.0,1.0,1.0,13.0,30.0,181.0,180.0,2.0,3.6137189865112314,10.5762878417969,54.868696915318225
2013.0,1.0,1.0,14.0,0.0,224.0,211.0,23.0,3.5046718120574951,10.53411254882815,57.065015080691992
2013.0,1.0,1.0,14.0,30.0,220.0,203.0,35.0,3.465174674987793,10.180871582031275,60.048419419347582
2013.0,1.0,1.0,15.0,0.0,245.0,194.0,114.0,3.4256775379180913,9.8276306152343995,63.707457306865855
2013.0,1.0,1.0,15.0,30.0,338.0,76.0,699.0,3.3967976570129395,9.3252197265625245,67.931818521336709
2013.0,1.0,1.0,16.0,0.0,115.0,112.0,7.0,3.3679177761077881,8.8228393554687745,72.621445201261594
2013.0,1.0,1.0,16.0,30.0,95.0,84.0,53.0,3.2594976425170898,8.0987487792968977,77.690384668765503
2013.0,1.0,1.0,17.0,0.0,50.0,50.0,0.0,3.151077508926392,7.3746276855468977,83.067086255897863
2013.0,1.0,1.0,17.0,30.0,0.0,0.0,0.0,3.2002427577972412,6.9424072265625227,88.692056862638836
2013.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,3.2494080066680913,6.5101867675781477,94.525032260960998
2013.0,1.0,1.0,18.0,30.0,0.0,0.0,0.0,3.2933163642883301,6.2062622070312727,100.51931368589004
2013.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,3.3372249603271484,5.9023376464843977,106.64701493418038
2013.0,1.0,1.0,19.0,30.0,0.0,0.0,0.0,3.3575913906097412,5.6241394042968986,112.88238129526331
2013.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,3.377957820892334,5.3459411621093986,119.20358873856328
2013.0,1.0,1.0,20.0,30.0,0.0,0.0,0.0,3.4148578643798833,5.0979858398437736,125.59141955611422
2013.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,3.4517579078674321,4.8500305175781486,132.02787070196541
2013.0,1.0,1.0,21.0,30.0,0.0,0.0,0.0,3.5057535171508789,4.5942932128906486,138.49434477774508
2013.0,1.0,1.0,22.0,0.0,0.0,0.0,0.0,3.5597493648529053,4.3385559082031486,144.96863469367992
2013.0,1.0,1.0,22.0,30.0,0.0,0.0,0.0,3.5882124900817871,4.0664916992187736,151.41859331729367
2013.0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,3.6166756153106689,3.7944274902343977,157.78577917950116
2013.0,1.0,1.0,23.0,30.0,0.0,0.0,0.0,3.6464934349060063,3.5293823242187727,163.93290543127316
2013.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.6763110160827641,3.2643676757812727,169.42666894503739
2013.0,1.0,2.0,0.0,30.0,0.0,0.0,0.0,3.7157983779907222,3.0130554199218977,172.58897327798147
2013.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.755285501480103,2.7617126464843977,170.63318730579243
2013.0,1.0,2.0,1.0,30.0,0.0,0.0,0.0,3.7740030288696289,2.5267272949218977,165.50422270266554
2013.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3.7927207946777344,2.2917419433593977,159.465399475081
2013.0,1.0,2.0,2.0,30.0,0.0,0.0,0.0,3.7594990730285649,2.0858093261718977,153.1372423209819
2013.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3.7262771129608159,1.8798767089843975,146.70098830530102
2013.0,1.0,2.0,3.0,30.0,0.0,0.0,0.0,3.6659445762634282,1.6848693847656475,140.22819360906288
2013.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,3.6056122779846187,1.4898315429687727,133.75570499413374
2013.0,1.0,2.0,4.0,30.0,0.0,0.0,0.0,3.5294792652130127,1.3354431152343975,127.30752557101212
2013.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,3.4533462524414062,1.1810546875000227,120.90281864073721
2013.0,1.0,2.0,5.0,30.0,0.0,0.0,0.0,3.3630030155181885,1.0657592773437727,114.55950895862316
2013.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,3.2726597785949707,0.95046386718752285,108.29630718105543
2013.0,1.0,2.0,6.0,30.0,0.0,0.0,0.0,3.1790733337402344,0.90654907226564763,102.13416801785287
2013.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,3.0854866504669189,0.86260375976564774,96.097610260764796
2013.0,1.0,2.0,7.0,30.0,0.0,0.0,0.0,2.9261622428894043,1.2557312011718975,90.211149203493065
2013.0,1.0,2.0,8.0,0.0,15.0,15.0,0.0,2.7668375968933105,1.6488281250000227,84.524283910544085
2013.0,1.0,2.0,8.0,30.0,54.0,54.0,0.0,2.760014533996582,2.2893310546875227,79.070126276750571
2013.0,1.0,2.0,9.0,0.0,106.0,101.0,18.0,2.7531914710998531,2.9298339843750227,73.906121243129618
2013.0,1.0,2.0,9.0,30.0,156.0,141.0,42.0,2.7294881343841557,3.5499816894531482,69.100206039282
2013.0,1.0,2.0,10.0,0.0,196.0,175.0,49.0,2.705784797668457,4.1701293945312736,64.734444496757874
2013.0,1.0,2.0,10.0,30.0,194.0,184.0,20.0,2.683313369750977,4.7272277832031486,60.905457987625802
2013.0,1.0,2.0,11.0,0.0,265.0,232.0,61.0,2.6608419418334961,5.2843566894531486,57.721736830737932
2013.0,1.0,2.0,11.0,30.0,302.0,257.0,78.0,2.6320593357086182,5.7791687011718977,55.29609290538675
2013.0,1.0,2.0,12.0,0.0,341.0,277.0,109.0,2.6032767295837398,6.2740112304687727,53.73219937578417
2013.0,1.0,2.0,12.0,30.0,316.0,272.0,73.0,2.6088409423828125,6.5192810058593977,53.106807339791672
2013.0,1.0,2.0,13.0,0.0,321.0,272.0,82.0,2.6144053936004639,6.7645507812500227,53.453091582453013
2013.0,1.0,2.0,13.0,30.0,340.0,269.0,123.0,2.6414909362792969,6.6792846679687727,54.752512207220185
2013.0,1.0,2.0,14.0,0.0,322.0,251.0,130.0,2.668576717376709,6.5940490722656477,56.939434180955104
2013.0,1.0,2.0,14.0,30.0,301.0,227.0,147.0,2.6743118762969971,6.3777404785156477,59.916050197093142
2013.0,1.0,2.0,15.0,0.0,259.0,196.0,142.0,2.6800470352172852,6.1614013671875227,63.570555482348325
2013.0,1.0,2.0,15.0,30.0,187.0,159.0,74.0,2.6528849601745605,5.8318115234375227,67.7921842690522
2013.0,1.0,2.0,16.0,0.0,156.0,124.0,105.0,2.6257226467132568,5.5021911621093986,72.480433067433111
2013.0,1.0,2.0,16.0,30.0,108.0,85.0,105.0,2.5221123695373531,4.9553771972656486,77.548970479887487
2013.0,1.0,2.0,17.0,0.0,56.0,52.0,34.0,2.4185018539428711,4.4085632324218986,82.925953301091837
2013.0,1.0,2.0,17.0,30.0,0.0,0.0,0.0,2.3911523818969727,4.0786376953125236,88.55173315110649
2013.0,1.0,2.0,18.0,0.0,0.0,0.0,0.0,2.3638026714324951,3.7486816406250232,94.385594985226518
2013.0,1.0,2.0,18.0,30.0,0.0,0.0,0.0,2.3129386901855469,3.5398193359375227,100.38103403163727
2013.0,1.0,2.0,19.0,0.0,0.0,0.0,0.0,2.2620747089385982,3.3309570312500227,106.50995754986812
2013.0,1.0,2.0,19.0,30.0,0.0,0.0,0.0,2.2317602634429932,3.1185546875000227,112.74653457991457
2013.0,1.0,2.0,20.0,0.0,0.0,0.0,0.0,2.2014458179473881,2.9061523437500227,119.06887217250843
2013.0,1.0,2.0,20.0,30.0,0.0,0.0,0.0,2.2417294979095459,2.6639648437500227,125.45768072740678
2013.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,2.2820131778717041,2.4217773437500227,131.89487005966481
2013.0,1.0,2.0,21.0,30.0,0.0,0.0,0.0,2.3808517456054687,2.1706176757812727,138.36172296113165
2013.0,1.0,2.0,22.0,0.0,0.0,0.0,0.0,2.4796903133392334,1.9194580078125227,144.83585209123473
2013.0,1.0,2.0,22.0,30.0,0.0,0.0,0.0,2.5683155059814453,1.6626831054687727,151.28482502927457
2013.0,1.0,2.0,23.0,0.0,0.0,0.0,0.0,2.6569409370422363,1.4059387207031475,157.64976201932498
2013.0,1.0,2.0,23.0,30.0,0.0,0.0,0.0,2.7408053874969478,1.1653686523437727,163.79299310055382
2013.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.8246698379516602,0.92479858398439763,169.28432894846932
2013.0,1.0,3.0,0.0,30.0,0.0,0.0,0.0,2.8877859115600586,0.69701538085939774,172.48114566336841
2013.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.9509017467498779,0.46920166015627279,170.61937532065815
2013.0,1.0,3.0,1.0,30.0,0.0,0.0,0.0,2.9887387752532963,0.26625976562502274,165.53934739906089
2013.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0265758037567139,0.063287353515647737,159.51932896478792
2013.0,1.0,3.0,2.0,30.0,0.0,0.0,0.0,3.0693361759185787,-0.072882080078102263,153.1990753097719
2013.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,3.1120965480804443,-0.20908203124997726,146.76602448310462
2013.0,1.0,3.0,3.0,30.0,0.0,0.0,0.0,3.1560885906219478,-0.19187011718747726,140.29397364168807
2013.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,3.2000806331634517,-0.17465820312497726,133.82071739424956
