SITE,LAT,LON,TYPE,ObjectID
Peñascal,27.215807,-97.788403,Wind,1
Cedro Hill 2,27.759295,-98.700557,Wind,2
Buffalo Gap,32.384068,-99.979019,Wind,3
Wildorado,35.211742,-102.208716,Wind,4
Sherbino 2,30.763769,-102.333374,Wind,5
Holmes Road,29.663829,-95.375693,Solar,6
Local Sun,29.739725,-96.158441,Solar,7
Roserock,30.963787,-103.293099,Solar,8
Alamo 1,29.271038,-98.45586,Solar,9
Alamo 7,33.005915,-99.606481,Solar,10
Alamo 5,29.229457,-99.696953,Solar,11
Webberville,30.238611,-97.50827,Solar,12
