Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSDBR,690190,-,TX,-,29.271038,-98.45586,-6,167,-6,unknown
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
2012.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.034799337387085,13.292810058593775,169.61100860339525
2012.0,1.0,1.0,0.0,30.0,0.0,0.0,0.0,2.701256275177002,13.10271606445315,173.55638227255861
2012.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.367713451385498,12.912622070312526,171.90782272428962
2012.0,1.0,1.0,1.0,30.0,0.0,0.0,0.0,4.1976490020751944,12.68364868164065,166.59314910035491
2012.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0275840759277335,12.45464477539065,160.40620387978367
2012.0,1.0,1.0,2.0,30.0,0.0,0.0,0.0,5.4329185485839835,11.86651000976565,153.97508398087058
2012.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,5.8382534980773926,11.278344726562526,147.46040678284362
2012.0,1.0,1.0,3.0,30.0,0.0,0.0,0.0,6.038236141204834,10.542016601562525,140.92245845436511
2012.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,6.2382187843322754,9.8056579589843995,134.39208284560684
2012.0,1.0,1.0,4.0,30.0,0.0,0.0,0.0,6.2391014099121085,9.1288391113281495,127.88979477377347
2012.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,6.2399845123291025,8.4519897460937727,121.43250855643913
2012.0,1.0,1.0,5.0,30.0,0.0,0.0,0.0,6.2119226455688477,7.9276062011718977,115.0365320856944
2012.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,6.1838607788085938,7.4031921386718977,108.71928012313387
2012.0,1.0,1.0,6.0,30.0,0.0,0.0,0.0,6.1414551734924325,7.1177917480468977,102.50056006676981
2012.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,6.0990495681762695,6.8323913574218977,96.403790321563775
2012.0,1.0,1.0,7.0,30.0,0.0,0.0,0.0,5.9413924217224121,7.4309631347656477,90.452353978263147
2012.0,1.0,1.0,8.0,0.0,61.0,35.0,281.0,5.7837352752685547,8.0295654296875227,84.694718852797877
2012.0,1.0,1.0,8.0,30.0,155.0,53.0,542.0,5.6545901298522949,9.2149291992187745,79.162613822459534
2012.0,1.0,1.0,9.0,0.0,255.0,66.0,681.0,5.5254449844360352,10.40032348632815,73.91245247390799
2012.0,1.0,1.0,9.0,30.0,350.0,75.0,768.0,5.5465564727783203,11.619531250000026,69.01123324900837
2012.0,1.0,1.0,10.0,0.0,437.0,82.0,826.0,5.5676674842834473,12.8387390136719,64.540572110559737
2012.0,1.0,1.0,10.0,30.0,513.0,87.0,866.0,5.5097007751464835,13.811303710937526,60.597587487794726
2012.0,1.0,1.0,11.0,0.0,574.0,91.0,894.0,5.4517345428466797,14.78386840820315,57.292790567476693
2012.0,1.0,1.0,11.0,30.0,621.0,94.0,913.0,5.3519563674926758,15.435693359375026,54.743054133148142
2012.0,1.0,1.0,12.0,0.0,651.0,95.0,924.0,5.2521786689758301,16.087518310546898,53.058210946979294
2012.0,1.0,1.0,12.0,30.0,664.0,96.0,929.0,5.1134214401245117,16.420220947265648,52.322432523231114
2012.0,1.0,1.0,13.0,0.0,660.0,96.0,928.0,4.9746642112731934,16.752923583984398,52.575817151232435
2012.0,1.0,1.0,13.0,30.0,639.0,95.0,921.0,4.8660216331481934,16.767846679687526,53.804323633189433
2012.0,1.0,1.0,14.0,0.0,601.0,92.0,908.0,4.7573790550231934,16.782769775390648,55.943392994915285
2012.0,1.0,1.0,14.0,30.0,547.0,89.0,887.0,4.652318000793457,16.445153808593773,58.893270696931353
2012.0,1.0,1.0,15.0,0.0,479.0,84.0,857.0,4.5472569465637216,16.107507324218773,62.538463758917025
2012.0,1.0,1.0,15.0,30.0,399.0,77.0,814.0,4.3575706481933585,15.3216491699219,66.76409089558355
2012.0,1.0,1.0,16.0,0.0,309.0,68.0,755.0,4.167884349822998,14.53582153320315,71.465957077354318
2012.0,1.0,1.0,16.0,30.0,212.0,56.0,672.0,4.1084079742431632,13.176721191406275,76.554820005480607
2012.0,1.0,1.0,17.0,0.0,117.0,32.0,609.0,4.0489320755004883,11.817651367187526,81.956765406216533
2012.0,1.0,1.0,17.0,30.0,0.0,0.0,0.0,4.1329789161682129,11.023400878906275,87.611135868144061
